method,tasks_executed,task_success_rate,defect_detection_rate,claim_detection_rate,false_positive_rate,false_negative_rate,manual_steps_required_estimate,manual_time_minutes_estimate,report_completeness_score,output_artifacts_present,time_measurement_scope,task_success_source,status
B1_manual_readme_zip,8,0.25,0.333333,0,0,0.5,29,21.75,0.4,"detected_defects.csv,reviewer_report.md",operator-step estimate computed from generated-output review gaps,per-baseline generated output files,BASELINE
B2_plain_checksum_manifest,8,0.25,0.666667,0,0,0.375,23,17.25,0.2,detected_defects.csv,operator-step estimate computed from generated-output review gaps,per-baseline generated output files,BASELINE
B3_ad_hoc_shell_replay,8,0.5,0.666667,0,0,0.375,19,14.25,0.6,"detected_defects.csv,replay_manifest.json,reviewer_report.md",operator-step estimate computed from generated-output review gaps,per-baseline generated output files,BASELINE
B4_simple_json_manifest,8,0.625,1,0,0,0.25,15,11.25,0.6,"detected_defects.csv,replay_manifest.json,reviewer_report.md",operator-step estimate computed from generated-output review gaps,per-baseline generated output files,BASELINE
B5_ro_crate_style_metadata,8,0.75,1,0,0,0.25,12,9,1,"claim_evidence_table.csv,claim_results.csv,detected_defects.csv,replay_manifest.json,reviewer_report.md",operator-step estimate computed from generated-output review gaps,per-baseline generated output files,BASELINE
B6_artifactgate_without_claim_policy,8,0.75,1,0,0,0.25,9,6.75,1,"claim_evidence_table.csv,claim_results.csv,detected_defects.csv,replay_manifest.json,reviewer_report.md",operator-step estimate computed from generated-output review gaps,per-baseline generated output files,ABLATED_BASELINE
B7_artifactgate_full,8,1,1,1,0,0,3,2.25,1,"claim_evidence_table.csv,claim_results.csv,detected_defects.csv,replay_manifest.json,reviewer_report.md",operator-step estimate computed from generated-output review gaps,per-baseline generated output files,TARGET
