relative_path,line_no,matched_path,context,allowed_context,status
outputs/rq10_reviewer_walkthrough/baseline_execution_source/B7_artifactgate_full/detected_defects.csv,4,/Users/example/private/output.log,"T3,NON_PORTABLE_PATH,A_PRIVATE_PATH,/Users/example/private/output.log,artifact_manifest.csv,negative non-portable path case",negative portability context,ALLOWED
outputs/rq10_reviewer_walkthrough/baseline_execution_source/fixture_package/artifact_manifest.csv,5,/Users/example/private/output.log,"A_PRIVATE_PATH,/Users/example/private/output.log,unknown,NON_PORTABLE_PATH,negative non-portable path case",negative portability context,ALLOWED
outputs/rq7_baseline/B4_simple_json_manifest/detected_defects.csv,4,/Users/example/private/output.log,"T3,NON_PORTABLE_PATH,A_PRIVATE_PATH,/Users/example/private/output.log,artifact_manifest.csv,negative non-portable path case",negative portability context,ALLOWED
outputs/rq7_baseline/B5_ro_crate_style_metadata/detected_defects.csv,4,/Users/example/private/output.log,"T3,NON_PORTABLE_PATH,A_PRIVATE_PATH,/Users/example/private/output.log,artifact_manifest.csv,negative non-portable path case",negative portability context,ALLOWED
outputs/rq7_baseline/B6_artifactgate_without_claim_policy/detected_defects.csv,4,/Users/example/private/output.log,"T3,NON_PORTABLE_PATH,A_PRIVATE_PATH,/Users/example/private/output.log,artifact_manifest.csv,negative non-portable path case",negative portability context,ALLOWED
outputs/rq7_baseline/B7_artifactgate_full/detected_defects.csv,4,/Users/example/private/output.log,"T3,NON_PORTABLE_PATH,A_PRIVATE_PATH,/Users/example/private/output.log,artifact_manifest.csv,negative non-portable path case",negative portability context,ALLOWED
outputs/rq7_baseline/fixture_package/artifact_manifest.csv,5,/Users/example/private/output.log,"A_PRIVATE_PATH,/Users/example/private/output.log,unknown,NON_PORTABLE_PATH,negative non-portable path case",negative portability context,ALLOWED
repo/src/artifactgate_eda/core/artifact.py,2012,/Users/example/private/output.log,"""relative_path"": ""/Users/example/private/output.log"",",portable artifact leak,LEAK
scripts/audit_file_inventory.py,53,/Users/[^\s,"PRIVATE_PATH_RE = re.compile(r""(/Users/[^\s'\""`,;:]+|C:\\Users\\[^\s'\""`,;:]+)"")",tooling regex pattern,ALLOWED
scripts/package_ist_artifacts.py,10,/Users/[^\s,"PRIVATE_PATH_BYTES_RE = re.compile(rb""(/Users/[^\s'\""`,;:]+|C:\\Users\\[^\s'\""`,;:]+)"")",portable artifact leak,LEAK
scripts/release_preflight.py,26,/Users/[^\s,"PRIVATE_PATH_PAYLOAD_RE = re.compile(rb""(/Users/[^\s'\""`,;:]+|C:\\Users\\[^\s'\""`,;:]+)"")",portable artifact leak,LEAK
tests/unit/test_release_preflight.py,59,/Users/example/private/output.log\n,"zip_handle.writestr(""outputs/example.csv"", ""path,/Users/example/private/output.log\n"")",portable artifact leak,LEAK
tests/unit/test_release_preflight.py,76,/Users/example/private/output.log,"""path,/Users/example/private/output.log,negative fixture\n"",",portable artifact leak,LEAK
