scale,repeats,manifest_rows_processed,median_total_runtime_s,runtime_iqr_s,min_total_runtime_s,max_total_runtime_s,median_estimated_peak_memory_mb,estimated_memory_iqr_mb,median_measured_output_size_mb,status
1000,10,10000,0.00680964,0.00168066,0.00560475,0.0333006,32,0,0.14753,PASS
3000,10,30000,0.0161955,0.0058001,0.014972,0.0287838,32,0,0.444122,PASS
5000,10,50000,0.0152852,0.0024742,0.0151183,0.0209382,32,0,0.739883,PASS
10000,10,100000,0.0305318,0.0002428,0.030239,0.0309798,32,0,1.49961,PASS
30000,5,150000,0.0914776,0.00057725,0.0909238,0.0919968,32,0,4.49952,PASS
50000,5,250000,0.151844,0.001397,0.151603,0.153199,38.7487,0,7.49946,PASS
100000,3,300000,0.308181,0.002215,0.307248,0.309463,77.976,0,15.1904,PASS
